"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q1","T1-2020",577.897,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q3","T3-2020",562.373,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q4","T4-2020",526.226,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2021","2021",561.893,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2022","2022",644.732,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2023","2023",670.926,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2021-Q1","T1-2021",489.055,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2021-Q2","T2-2021",561.683,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2021-Q3","T3-2021",597.037,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2021-Q4","T4-2021",599.795,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2022-Q1","T1-2022",598.014,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2022-Q2","T2-2022",649.069,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2022-Q3","T3-2022",679.347,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2022-Q4","T4-2022",652.498,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",659.532,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",685.344,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",674.144,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",664.685,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2018","2018",192.815,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2018-Q2","T2-2018",197.764,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2018-Q1","T1-2018",204.044,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2018-Q4","T4-2018",185.244,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2018-Q3","T3-2018",184.207,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2019","2019",196.675,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",193.508,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",204.757,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",186.899,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",201.537,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2020","2020",179.168,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",179.417,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",184.084,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",182.513,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",170.661,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2021","2021",190.893,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2022","2022",209.92,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2023","2023",214.242,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2021-Q1","T1-2021",163.873,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2021-Q2","T2-2021",192.393,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2021-Q3","T3-2021",209.34,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2021-Q4","T4-2021",197.968,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2022-Q1","T1-2022",198.525,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2022-Q2","T2-2022",222.298,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2022-Q3","T3-2022",217.854,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2022-Q4","T4-2022",201.002,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",206.758,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",221.576,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",218.197,,
"ITC","Nord-ovest","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",210.437,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2018","2018",123.654,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2018-Q2","T2-2018",128.503,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2018-Q1","T1-2018",129.859,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2018-Q4","T4-2018",122.204,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2018-Q3","T3-2018",114.051,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2019","2019",133.102,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",130.308,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",144.22,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",131.418,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",126.462,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2020","2020",120.699,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",114.285,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",134.747,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",115.823,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",117.941,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2021","2021",122.323,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2022","2022",146.208,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2023","2023",150.612,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2021-Q1","T1-2021",101.514,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2021-Q2","T2-2021",130.889,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2021-Q3","T3-2021",123.766,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2021-Q4","T4-2021",133.122,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2022-Q1","T1-2022",131.787,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2022-Q2","T2-2022",148.695,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2022-Q3","T3-2022",145.42,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2022-Q4","T4-2022",158.929,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",143.324,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",154.894,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",150.794,,
"ITC","Nord-ovest","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",153.438,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2018","2018",316.469,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2018-Q2","T2-2018",326.267,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2018-Q1","T1-2018",333.904,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2018-Q4","T4-2018",307.448,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2018-Q3","T3-2018",298.258,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2019","2019",329.777,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2019-Q1","T1-2019",323.816,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2019-Q2","T2-2019",348.977,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2019-Q4","T4-2019",318.317,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2019-Q3","T3-2019",327.998,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2020","2020",299.868,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2020-Q2","T2-2020",293.702,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2020-Q1","T1-2020",318.831,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2020-Q3","T3-2020",298.336,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2020-Q4","T4-2020",288.602,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2021","2021",313.216,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2022","2022",356.127,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2023","2023",364.854,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2021-Q1","T1-2021",265.387,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2021-Q2","T2-2021",323.281,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2021-Q3","T3-2021",333.106,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2021-Q4","T4-2021",331.09,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2022-Q1","T1-2022",330.312,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2022-Q2","T2-2022",370.993,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2022-Q3","T3-2022",363.274,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2022-Q4","T4-2022",359.931,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",350.081,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",376.47,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",368.991,,
"ITC","Nord-ovest","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",363.875,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2018","2018",149.024,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2018-Q2","T2-2018",151.685,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2018-Q1","T1-2018",141.015,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2018-Q4","T4-2018",150.178,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2018-Q3","T3-2018",153.219,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2019","2019",159.184,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",151.236,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",165.679,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",160.946,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",158.877,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2020","2020",157.654,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",156.951,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",162.635,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",163.078,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",147.953,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2021","2021",154.335,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2022","2022",172.885,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2023","2023",183.317,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2021-Q1","T1-2021",145.859,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2021-Q2","T2-2021",146.591,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2021-Q3","T3-2021",166.933,,
"ITD","Nord-est","1","maschi","Y15-24","15-24 anni","2021-Q4","T4-2021",157.955,,
